B011	Embedded Ada			NO		
B012	Embedded C			NO		
B013	Embedded COBOL			NO		
B014	Embedded Fortran			NO		
B015	Embedded MUMPS			NO		
B016	Embedded Pascal			NO		
B017	Embedded PL/I			NO		
B021	Direct SQL			NO		
B031	Basic dynamic SQL			NO		
B032	Extended dynamic SQL			NO		
B032	Extended dynamic SQL	1	<describe input statement>	NO		
B033	Untyped SQL-invoked function arguments			NO		
B034	Dynamic specification of cursor attributes			NO		
B035	Non-extended descriptor names			NO		
B041	Extensions to embedded SQL exception declarations			NO		
B051	Enhanced execution rights			NO		
B111	Module language Ada			NO		
B112	Module language C			NO		
B113	Module language COBOL			NO		
B114	Module language Fortran			NO		
B115	Module language MUMPS			NO		
B116	Module language Pascal			NO		
B117	Module language PL/I			NO		
B121	Routine language Ada			NO		
B122	Routine language C			NO		
B123	Routine language COBOL			NO		
B124	Routine language Fortran			NO		
B125	Routine language MUMPS			NO		
B126	Routine language Pascal			NO		
B127	Routine language PL/I			NO		
B128	Routine language SQL			NO		
B211	Module language Ada: VARCHAR and NUMERIC support			NO		
B221	Routine language Ada: VARCHAR and NUMERIC support			NO		
E011	Numeric data types			NO		Only Java types are supported
E011	Numeric data types	1	INTEGER and SMALLINT data types	NO		missing smallint
E011	Numeric data types	2	REAL, DOUBLE PRECISION, and FLOAT data types	NO		missing real, double precission
E011	Numeric data types	3	DECIMAL and NUMERIC data types	NO		
E011	Numeric data types	4	Arithmetic operators	YES		
E011	Numeric data types	5	Numeric comparison	YES		
E011	Numeric data types	6	Implicit casting among the numeric data types	YES		
E021	Character data types			NO		Type 'string'
E021	Character string types	1	CHARACTER data type	NO		
E021	Character string types	2	CHARACTER VARYING data type	NO		
E021	Character string types	3	Character literals	YES		Only simple ' quoting
E021	Character string types	4	CHARACTER_LENGTH function	YES		char_length only
E021	Character string types	5	OCTET_LENGTH function	YES		
E021	Character string types	6	SUBSTRING function	NO		substr scalar
E021	Character string types	7	Character concatenation	YES		
E021	Character string types	8	UPPER and LOWER functions	YES		
E021	Character string types	9	TRIM function	NO		
E021	Character string types	10	Implicit casting among the character string types	-		just one type
E021	Character string types	11	POSITION function	NO		
E021	Character string types	12	Character comparison	YES		
E031	Identifiers			YES		
E031	Identifiers	1	Delimited identifiers	YES		
E031	Identifiers	2	Lower case identifiers	YES		
E031	Identifiers	3	Trailing underscore	YES		
E051	Basic query specification			NO		
E051	Basic query specification	1	SELECT DISTINCT	YES		
E051	Basic query specification	2	GROUP BY clause	YES		
E051	Basic query specification	4	GROUP BY can contain columns not in <select list>	YES		
E051	Basic query specification	5	Select list items can be renamed	YES		
E051	Basic query specification	6	HAVING clause	YES		
E051	Basic query specification	7	Qualified * in select list	YES		
E051	Basic query specification	8	Correlation names in the FROM clause	YES		
E051	Basic query specification	9	Rename columns in the FROM clause	NO		
E061	Basic predicates and search conditions			NO		
E061	Basic predicates and search conditions	1	Comparison predicate	YES		
E061	Basic predicates and search conditions	2	BETWEEN predicate	NO		
E061	Basic predicates and search conditions	3	IN predicate with list of values	YES		
E061	Basic predicates and search conditions	4	LIKE predicate	YES		
E061	Basic predicates and search conditions	5	LIKE predicate ESCAPE clause	NO		
E061	Basic predicates and search conditions	6	NULL predicate	YES		
E061	Basic predicates and search conditions	7	Quantified comparison predicate	NO		only ANY(array) 
E061	Basic predicates and search conditions	8	EXISTS predicate	NO		
E061	Basic predicates and search conditions	9	Subqueries in comparison predicate	NO		
E061	Basic predicates and search conditions	11	Subqueries in IN predicate	NO		
E061	Basic predicates and search conditions	12	Subqueries in quantified comparison predicate	NO		
E061	Basic predicates and search conditions	13	Correlated subqueries	NO		
E061	Basic predicates and search conditions	14	Search condition	YES		
E071	Basic query expressions			NO		
E071	Basic query expressions	1	UNION DISTINCT table operator	NO		
E071	Basic query expressions	2	UNION ALL table operator	NO		
E071	Basic query expressions	3	EXCEPT DISTINCT table operator	NO		
E071	Basic query expressions	5	Columns combined via table operators need not have exactly the same data type	NO		
E071	Basic query expressions	6	Table operators in subqueries	NO		
E081	Basic Privileges			NO		
E081	Basic Privileges	1	SELECT privilege	NO		
E081	Basic Privileges	2	DELETE privilege	NO		
E081	Basic Privileges	3	INSERT privilege at the table level	NO		
E081	Basic Privileges	4	UPDATE privilege at the table level	NO		
E081	Basic Privileges	5	UPDATE privilege at the column level	NO		
E081	Basic Privileges	6	REFERENCES privilege at the table level	NO		
E081	Basic Privileges	7	REFERENCES privilege at the column level	NO		
E081	Basic Privileges	8	WITH GRANT OPTION	NO		
E081	Basic Privileges	9	USAGE privilege	NO		
E081	Basic Privileges	10	EXECUTE privilege	NO		
E091	Set functions			NO		
E091	Set functions	1	AVG	NO		
E091	Set functions	2	COUNT	NO		
E091	Set functions	3	MAX	NO		
E091	Set functions	4	MIN	NO		
E091	Set functions	5	SUM	NO		
E091	Set functions	6	ALL quantifier	NO		
E091	Set functions	7	DISTINCT quantifier	NO		
